Unnamed: 0,address_id,line1,line2,city,province_id,postal_code,country_code
0,1,Sucursal Buenos Aires - Av. Principal 101,,Buenos Aires,1,1001,AR
1,2,Sucursal Córdoba - Av. Principal 102,,Córdoba,2,1002,AR
2,3,Sucursal Santa Fe - Av. Principal 103,,Santa Fe,3,1003,AR
3,4,Sucursal Mendoza - Av. Principal 104,,Mendoza,4,1004,AR
4,1001,Calle 5545,Piso 4 Dto B,Córdoba,2,4934,AR
5,1002,Calle 2808,Piso 9 Dto C,Rafaela,3,2071,AR
6,1003,Calle 3108,Piso 4 Dto C,CABA,1,7131,AR
7,1004,Calle 4007,,Río Cuarto,2,9773,AR
8,1005,Calle 4050,Piso 1 Dto C,Santa Fe,3,3071,AR
9,1006,Calle 3429,Piso 12 Dto A,Godoy Cruz,4,2062,AR
10,1007,Calle 8343,Piso 6 Dto B,Mar del Plata,1,3932,AR
11,1008,Calle 7919,Piso 12 Dto B,Río Cuarto,2,5396,AR
12,1009,Calle 600,,Río Cuarto,2,8406,AR
13,1010,Calle 6964,,La Plata,1,7129,AR
14,1011,Calle 1377,Piso 5 Dto B,Córdoba,2,4771,AR
15,1012,Calle 5512,Piso 7 Dto B,Mar del Plata,1,8086,AR
16,1013,Calle 5195,,La Plata,1,3942,AR
17,1014,Calle 1244,Piso 6 Dto A,Mar del Plata,1,9220,AR
18,1015,Calle 4529,,CABA,1,2168,AR
19,1016,Calle 5469,Piso 4 Dto C,CABA,1,5096,AR
20,1017,Calle 4497,,Río Cuarto,2,9898,AR
21,1018,Calle 4618,Piso 6 Dto B,La Plata,1,1194,AR
22,1019,Calle 6513,,Córdoba,2,8773,AR
23,1020,Calle 7680,Piso 12 Dto B,Mar del Plata,1,2406,AR
24,1021,Calle 6844,Piso 4 Dto B,Santa Fe,3,1493,AR
25,1022,Calle 5007,Piso 12 Dto A,CABA,1,6810,AR
26,1023,Calle 6609,Piso 12 Dto C,La Plata,1,6342,AR
27,1024,Calle 2280,Piso 3 Dto B,Córdoba,2,7247,AR
28,1025,Calle 8758,Piso 7 Dto A,Mendoza,4,2779,AR
29,1026,Calle 4992,,Villa Carlos Paz,2,3910,AR
30,1027,Calle 8006,,Rafaela,3,2138,AR
31,1028,Calle 4770,,CABA,1,8449,AR
32,1029,Calle 2816,Piso 6 Dto B,CABA,1,3572,AR
33,1030,Calle 7836,Piso 12 Dto A,La Plata,1,4382,AR
34,1031,Calle 7082,Piso 12 Dto C,Santa Fe,3,3601,AR
35,1032,Calle 7520,,Río Cuarto,2,3337,AR
36,1033,Calle 9910,Piso 4 Dto C,La Plata,1,9043,AR
37,1034,Calle 1493,Piso 5 Dto C,CABA,1,6681,AR
38,1035,Calle 6801,Piso 4 Dto A,CABA,1,8501,AR
39,1036,Calle 9317,,Mendoza,4,4927,AR
40,1037,Calle 8811,,Mar del Plata,1,4559,AR
41,1038,Calle 1987,,Mar del Plata,1,9264,AR
42,1039,Calle 4142,,CABA,1,8572,AR
43,1040,Calle 7568,Piso 7 Dto B,Mar del Plata,1,4185,AR
44,1041,Calle 1879,Piso 12 Dto A,La Plata,1,8606,AR
45,1042,Calle 8986,Piso 11 Dto A,CABA,1,3297,AR
46,1043,Calle 2795,,Rosario,3,3903,AR
47,1044,Calle 6404,,Mar del Plata,1,5476,AR
48,1045,Calle 3550,,CABA,1,8242,AR
49,1046,Calle 1685,Piso 7 Dto C,Rafaela,3,8274,AR
50,1047,Calle 6184,Piso 4 Dto A,Córdoba,2,4908,AR
51,1048,Calle 458,,La Plata,1,2035,AR
52,1049,Calle 2751,,Mendoza,4,7810,AR
53,1050,Calle 5287,,La Plata,1,4393,AR
54,1051,Calle 1980,,La Plata,1,6842,AR
55,1052,Calle 5182,,La Plata,1,8516,AR
56,1053,Calle 6046,,La Plata,1,7735,AR
57,1054,Calle 1669,,Santa Fe,3,5127,AR
58,1055,Calle 6367,,Río Cuarto,2,6440,AR
59,1056,Calle 5210,,Río Cuarto,2,6490,AR
60,1057,Calle 7355,,Río Cuarto,2,9248,AR
61,1058,Calle 2033,Piso 5 Dto A,Mar del Plata,1,4990,AR
62,1059,Calle 8172,,La Plata,1,7156,AR
63,1060,Calle 9799,Piso 8 Dto C,Córdoba,2,3199,AR
64,1061,Calle 8534,Piso 7 Dto C,CABA,1,1388,AR
65,1062,Calle 5616,,Santa Fe,3,5068,AR
66,1063,Calle 8544,Piso 6 Dto A,Villa Carlos Paz,2,1099,AR
67,1064,Calle 3154,,Rosario,3,4345,AR
68,1065,Calle 8993,,Mar del Plata,1,7983,AR
69,1066,Calle 3237,,Mar del Plata,1,5079,AR
70,1067,Calle 3300,,La Plata,1,6891,AR
71,1068,Calle 7232,Piso 7 Dto C,La Plata,1,3553,AR
72,1069,Calle 7003,,La Plata,1,3878,AR
73,1070,Calle 7432,Piso 5 Dto B,La Plata,1,2178,AR
74,1071,Calle 3207,,La Plata,1,1210,AR
75,1072,Calle 8052,Piso 7 Dto B,Villa Carlos Paz,2,7113,AR
76,1073,Calle 9639,,Mar del Plata,1,3039,AR
77,1074,Calle 3183,Piso 7 Dto B,Mendoza,4,9349,AR
78,1075,Calle 946,Piso 11 Dto B,Villa Carlos Paz,2,5043,AR
79,1076,Calle 463,,La Plata,1,5281,AR
80,1077,Calle 4167,,Mendoza,4,1202,AR
81,1078,Calle 6298,,Rafaela,3,9495,AR
82,1079,Calle 6994,Piso 5 Dto C,Rosario,3,9202,AR
83,1080,Calle 9603,Piso 5 Dto C,Villa Carlos Paz,2,2456,AR
84,1081,Calle 2339,,Villa Carlos Paz,2,7520,AR
85,1082,Calle 8057,,CABA,1,7845,AR
86,1083,Calle 7061,Piso 3 Dto A,La Plata,1,4053,AR
87,1084,Calle 8235,,CABA,1,4041,AR
88,1085,Calle 3144,Piso 5 Dto B,CABA,1,2789,AR
89,1086,Calle 6189,,CABA,1,6605,AR
90,1087,Calle 7950,,Villa Carlos Paz,2,2000,AR
91,1088,Calle 9543,,Rosario,3,9557,AR
92,1089,Calle 4356,Piso 8 Dto B,Mar del Plata,1,8036,AR
93,1090,Calle 5165,Piso 4 Dto B,La Plata,1,7200,AR
94,1091,Calle 1642,Piso 1 Dto B,Godoy Cruz,4,3275,AR
95,1092,Calle 4579,Piso 12 Dto A,Río Cuarto,2,8404,AR
96,1093,Calle 3080,Piso 1 Dto C,Mar del Plata,1,1272,AR
97,1094,Calle 5334,,Rafaela,3,8938,AR
98,1095,Calle 5708,,Córdoba,2,7305,AR
99,1096,Calle 2346,,Río Cuarto,2,3094,AR
100,1097,Calle 8991,Piso 8 Dto A,Santa Fe,3,2895,AR
101,1098,Calle 3988,,Córdoba,2,2728,AR
102,1099,Calle 2626,Piso 6 Dto B,Mendoza,4,4610,AR
103,1100,Calle 2017,Piso 11 Dto A,Río Cuarto,2,2481,AR
104,1101,Calle 9842,Piso 2 Dto C,Rafaela,3,7176,AR
105,1102,Calle 7160,Piso 4 Dto A,Río Cuarto,2,2895,AR
106,1103,Calle 5575,,CABA,1,2902,AR
107,1104,Calle 6230,,La Plata,1,6092,AR
108,1105,Calle 6360,Piso 7 Dto B,Córdoba,2,3069,AR
109,1106,Calle 3640,,Río Cuarto,2,9819,AR
110,1107,Calle 3587,Piso 8 Dto C,La Plata,1,3415,AR
111,1108,Calle 563,Piso 10 Dto B,Mar del Plata,1,9230,AR
112,1109,Calle 9404,,Mar del Plata,1,9110,AR
113,1110,Calle 964,,Villa Carlos Paz,2,4687,AR
