address_sk,address_id,line1,line2,country_code,province,province_code,city,postal_code,created_at
1,1,Sucursal Buenos Aires - Av. Principal 101,,AR,Buenos Aires,BA,Buenos Aires,1001,2023-12-13 10:49:04
2,2,Sucursal Córdoba - Av. Principal 102,,AR,Córdoba,CBA,Córdoba,1002,2023-11-13 13:09:24
3,3,Sucursal Santa Fe - Av. Principal 103,,AR,Santa Fe,SF,Santa Fe,1003,2023-07-31 15:36:04
4,4,Sucursal Mendoza - Av. Principal 104,,AR,Mendoza,MZA,Mendoza,1004,2023-09-16 13:54:28
5,1001,Calle 5545,Piso 4 Dto B,AR,Córdoba,CBA,Córdoba,4934,2024-11-30 05:12:08
6,1002,Calle 2808,Piso 9 Dto C,AR,Santa Fe,SF,Rafaela,2071,2023-11-06 01:45:04
7,1003,Calle 3108,Piso 4 Dto C,AR,Buenos Aires,BA,CABA,7131,2024-09-10 22:05:42
8,1004,Calle 4007,,AR,Córdoba,CBA,Río Cuarto,9773,2024-08-04 23:55:39
9,1005,Calle 4050,Piso 1 Dto C,AR,Santa Fe,SF,Santa Fe,3071,2025-07-03 13:39:34
10,1006,Calle 3429,Piso 12 Dto A,AR,Mendoza,MZA,Godoy Cruz,2062,2024-01-21 02:22:29
11,1007,Calle 8343,Piso 6 Dto B,AR,Buenos Aires,BA,Mar del Plata,3932,2024-09-16 22:26:09
12,1008,Calle 7919,Piso 12 Dto B,AR,Córdoba,CBA,Río Cuarto,5396,2025-01-17 20:21:10
13,1009,Calle 600,,AR,Córdoba,CBA,Río Cuarto,8406,2024-05-04 02:29:27
14,1010,Calle 6964,,AR,Buenos Aires,BA,La Plata,7129,2024-06-04 09:32:16
15,1011,Calle 1377,Piso 5 Dto B,AR,Córdoba,CBA,Córdoba,4771,2023-07-08 21:55:09
16,1012,Calle 5512,Piso 7 Dto B,AR,Buenos Aires,BA,Mar del Plata,8086,2025-01-30 06:51:52
17,1013,Calle 5195,,AR,Buenos Aires,BA,La Plata,3942,2025-03-22 03:20:26
18,1014,Calle 1244,Piso 6 Dto A,AR,Buenos Aires,BA,Mar del Plata,9220,2025-07-10 14:14:01
19,1015,Calle 4529,,AR,Buenos Aires,BA,CABA,2168,2024-11-15 14:36:17
20,1016,Calle 5469,Piso 4 Dto C,AR,Buenos Aires,BA,CABA,5096,2024-08-18 06:03:17
21,1017,Calle 4497,,AR,Córdoba,CBA,Río Cuarto,9898,2024-06-14 15:50:06
22,1018,Calle 4618,Piso 6 Dto B,AR,Buenos Aires,BA,La Plata,1194,2025-05-08 05:35:03
23,1019,Calle 6513,,AR,Córdoba,CBA,Córdoba,8773,2024-05-03 01:49:55
24,1020,Calle 7680,Piso 12 Dto B,AR,Buenos Aires,BA,Mar del Plata,2406,2024-09-03 08:16:32
25,1021,Calle 6844,Piso 4 Dto B,AR,Santa Fe,SF,Santa Fe,1493,2024-12-08 01:50:05
26,1022,Calle 5007,Piso 12 Dto A,AR,Buenos Aires,BA,CABA,6810,2024-10-14 21:29:29
27,1023,Calle 6609,Piso 12 Dto C,AR,Buenos Aires,BA,La Plata,6342,2023-06-11 02:26:38
28,1024,Calle 2280,Piso 3 Dto B,AR,Córdoba,CBA,Córdoba,7247,2024-03-18 05:17:59
29,1025,Calle 8758,Piso 7 Dto A,AR,Mendoza,MZA,Mendoza,2779,2024-09-27 20:05:40
30,1026,Calle 4992,,AR,Córdoba,CBA,Villa Carlos Paz,3910,2023-06-24 19:15:06
31,1027,Calle 8006,,AR,Santa Fe,SF,Rafaela,2138,2024-12-25 11:10:31
32,1028,Calle 4770,,AR,Buenos Aires,BA,CABA,8449,2023-08-03 06:00:35
33,1029,Calle 2816,Piso 6 Dto B,AR,Buenos Aires,BA,CABA,3572,2023-10-25 00:50:01
34,1030,Calle 7836,Piso 12 Dto A,AR,Buenos Aires,BA,La Plata,4382,2023-11-23 20:13:35
